,City,High School Completion,Income Inequality,Life Expectancy,Neighborhood racial/ethnic segregation,Racial/ethnic diversity,"Unemployment - annual, neighborhood-level",Uninsured,STATE_ABBR,no_of_crimes
263,Perth Amboy,70.5,-19.9,80.1,4.7,45.0,3.9,18.7,NJ,39
264,Plainfield,75.8,-17.5,78.6,8.2,70.6,7.9,28.8,NJ,71
265,Pleasantville,75.6,-33.1,76.2,2.7,73.0,8.8,13.5,NJ,22
266,Salem,82.5,-50.2,68.9,2.7,66.7,14.6,5.9,NJ,374
267,Salem,87.4,-15.8,79.0,9.9,58.6,5.8,8.5,OR,374
268,Trenton,71.4,-38.2,74.9,19.1,69.7,11.4,19.4,NJ,178
269,Union City,71.5,-23.0,80.4,3.4,47.7,4.5,25.8,NJ,154
270,Union City,90.6,28.0,82.9,9.1,80.0,3.4,2.4,CA,154
271,Vineland,78.2,-18.2,77.9,9.7,70.5,7.2,10.7,NJ,62
272,West New York,73.6,-15.8,84.1,18.9,47.4,5.7,24.1,NJ,19
273,Albuquerque,89.7,-19.6,78.5,12.5,66.6,5.6,9.1,NM,461
274,Las Cruces,86.8,-30.5,79.0,6.8,56.3,7.3,8.8,NM,20
275,Santa Fe,88.9,-11.9,80.2,15.8,56.8,4.3,16.4,NM,9
276,Buffalo,84.6,-36.1,74.8,26.5,78.8,7.1,5.1,NY,261
277,Hempstead,71.7,-11.0,80.2,14.4,69.8,4.5,15.3,NY,5
278,Mount Vernon,84.3,-14.3,79.9,16.7,66.2,6.6,7.2,NY,135
279,New Rochelle,84.0,6.3,81.8,12.7,79.4,6.1,11.0,NY,81
280,New York,82.2,-8.3,80.6,33.4,89.3,6.3,8.6,NY,10717
281,Schenectady,84.5,-27.8,77.2,9.7,81.6,9.2,7.4,NY,17
282,Syracuse,82.7,-35.6,76.9,15.1,78.1,9.3,5.6,NY,32
283,Utica,79.3,-36.5,77.0,14.8,77.3,8.2,6.9,NY,31
284,White Plains,87.9,8.9,82.6,10.2,77.8,5.1,11.3,NY,36
285,Yonkers,82.3,-9.3,81.0,15.7,80.6,6.6,8.5,NY,169
286,Asheville,91.7,-18.8,77.9,10.4,45.9,2.8,12.9,NC,86
287,Cary,96.4,22.1,81.7,11.9,68.6,3.2,6.3,NC,23
288,Chapel Hill,96.0,4.9,81.6,4.3,64.3,3.4,5.3,NC,64
289,Charlotte,89.1,-5.5,78.5,18.7,80.1,5.0,13.8,NC,35
290,Concord,89.6,-5.8,78.0,9.4,67.9,5.3,9.7,NC,201
291,Concord,88.8,7.4,80.4,8.9,79.0,5.0,7.3,CA,201
292,Durham,88.1,-10.3,79.0,15.9,79.0,4.6,13.9,NC,108
