,City,High School Completion,Income Inequality,Life Expectancy,Neighborhood racial/ethnic segregation,Racial/ethnic diversity,"Unemployment - annual, neighborhood-level",Uninsured,STATE_ABBR,no_of_crimes
508,Antioch,86.3,-1.6,77.9,4.8,91.3,8.4,7.0,CA,94
509,Arcadia,92.5,12.1,84.0,7.9,69.5,4.7,5.5,CA,40
510,Bakersfield,80.1,-9.4,77.4,14.9,70.2,8.4,8.1,CA,130
511,Baldwin Park,66.4,-11.9,81.3,3.6,45.4,5.8,11.8,CA,31
512,Bellflower,76.6,-14.4,78.5,4.2,77.0,5.8,11.5,CA,65
513,Berkeley,96.4,8.2,83.0,8.6,79.8,5.3,3.4,CA,312
514,Brentwood,92.8,21.1,81.6,3.0,82.4,6.7,2.6,CA,52
515,Buena Park,84.1,3.1,80.6,6.3,79.7,5.2,9.5,CA,37
516,Burbank,92.0,-0.3,81.5,5.3,72.6,6.1,7.2,CA,137
517,Camarillo,92.9,11.9,82.7,4.6,67.3,4.0,6.1,CA,74
518,Carlsbad,95.2,26.4,84.2,5.2,57.8,4.9,5.5,CA,42
519,Carson,80.9,4.1,79.9,20.9,82.9,6.0,8.4,CA,62
520,Cathedral City,78.3,-23.8,79.1,16.7,65.8,6.4,14.9,CA,26
521,Cerritos,93.7,18.7,84.7,2.8,74.8,6.0,5.4,CA,43
522,Chico,92.5,-19.4,79.0,4.0,55.0,8.0,7.7,CA,68
523,Chino,79.5,3.0,80.0,6.6,78.0,5.1,9.8,CA,96
524,Chino Hills,93.7,18.7,82.1,5.1,82.0,4.9,4.7,CA,18
525,Chula Vista,82.8,1.7,81.4,7.8,72.2,9.0,8.1,CA,95
526,Citrus Heights,90.3,-12.2,78.0,2.9,59.8,6.2,6.9,CA,21
527,Clovis,91.3,1.7,79.2,4.2,72.5,5.5,5.0,CA,55
528,Colton,76.4,-17.7,78.4,14.8,67.1,7.1,8.8,CA,34
529,Compton,62.2,-21.6,77.6,12.3,52.3,9.4,12.5,CA,43
530,Corona,85.6,6.5,80.6,8.4,77.5,5.1,9.8,CA,78
531,Costa Mesa,85.2,7.4,80.6,13.6,73.2,4.2,13.1,CA,48
532,Cupertino,97.2,45.9,85.5,6.3,58.9,3.6,2.2,CA,31
533,Daly City,86.9,14.1,82.6,5.5,70.6,5.1,5.8,CA,25
534,Davis,97.3,-2.9,81.8,4.0,75.2,5.8,3.8,CA,187
535,Delano,58.1,-27.5,79.3,11.1,49.5,11.9,8.7,CA,7
536,Diamond Bar,94.2,13.8,84.6,5.6,69.4,5.6,6.8,CA,29
537,Downey,79.6,0.8,80.4,2.5,52.1,5.2,11.4,CA,56
538,Dublin,94.9,43.4,81.8,8.1,75.7,3.5,2.5,CA,27
539,Eastvale,90.0,28.3,80.9,1.4,87.0,4.8,4.3,CA,6
540,El Cajon,84.0,-16.0,77.6,4.3,65.8,8.0,8.7,CA,55
541,Elk Grove,90.5,10.9,81.1,4.2,90.8,5.5,2.8,CA,32
542,El Monte,58.9,-22.0,81.6,11.3,55.9,6.2,15.4,CA,133
543,Encinitas,95.3,26.3,83.3,3.4,47.3,3.8,6.1,CA,44
544,Escondido,78.8,-8.2,80.0,10.5,69.3,4.7,13.8,CA,130
545,Fairfield,87.4,5.9,79.0,6.2,92.6,5.8,5.1,CA,114
546,Folsom,93.8,24.3,81.7,10.4,69.0,3.1,2.7,CA,31
547,Fontana,75.5,-2.5,79.1,9.1,60.3,6.9,10.2,CA,37
548,Fountain Valley,90.4,10.9,82.0,9.7,74.9,4.1,6.3,CA,44
549,Fremont,93.5,35.3,83.0,6.6,70.4,3.6,1.9,CA,165
550,Fresno,77.4,-22.8,77.8,11.5,77.6,9.4,9.1,CA,434
551,Fullerton,87.9,5.1,81.1,13.9,78.3,6.5,7.3,CA,68
552,Gardena,82.4,-13.1,80.9,10.2,86.6,4.6,12.3,CA,24
553,Garden Grove,74.7,-4.8,81.2,11.0,73.7,4.5,9.2,CA,177
554,Gilroy,80.1,17.5,80.5,8.8,65.5,5.6,6.7,CA,9
555,Glendora,91.4,11.0,80.7,5.2,74.0,6.0,5.9,CA,32
556,Hanford,80.0,-11.4,78.7,8.5,68.9,7.4,7.1,CA,11
557,Hawthorne,77.6,-16.8,78.7,12.7,74.8,6.0,13.6,CA,61
558,Hayward,83.1,6.7,79.8,6.7,87.9,4.4,5.2,CA,75
559,Hemet,79.6,-33.4,76.6,4.9,68.0,12.9,11.2,CA,68
560,Hesperia,78.3,-22.6,77.2,6.5,63.1,10.3,8.4,CA,24
561,Highland,77.3,-10.0,77.2,10.4,74.7,8.3,10.3,CA,21
562,Huntington Beach,92.7,12.6,81.0,7.8,69.5,4.3,6.0,CA,176
563,Huntington Park,47.3,-29.4,78.2,11.1,10.9,8.3,18.9,CA,24
564,Indio,80.3,-17.7,80.1,23.4,57.4,8.5,9.4,CA,9
565,Inglewood,76.2,-16.8,78.8,20.5,64.7,8.0,13.7,CA,16
566,Irvine,96.6,16.3,83.1,4.4,74.4,4.5,4.9,CA,110
567,Jurupa Valley,70.8,-6.5,78.5,12.0,63.6,8.7,14.1,CA,5
568,Laguna Niguel,95.2,22.6,82.4,5.7,63.3,4.0,4.6,CA,22
569,La Habra,82.8,-0.2,82.0,13.4,71.2,7.5,10.6,CA,35
570,Lake Elsinore,82.6,-4.9,78.5,5.5,68.4,8.2,8.9,CA,29
571,Lake Forest,93.2,22.8,81.6,8.6,76.5,4.2,6.8,CA,43
572,La Mesa,92.7,-9.0,80.3,3.9,72.7,7.0,7.1,CA,51
573,Livermore,93.7,33.3,81.0,8.6,70.4,3.1,3.3,CA,77
574,Lodi,80.7,-12.0,78.5,12.8,71.9,7.1,7.5,CA,163
575,Long Beach,80.2,-8.6,78.5,14.7,84.7,6.0,9.4,CA,539
576,Los Angeles,77.5,-9.1,80.4,26.4,79.0,6.3,12.8,CA,8578
577,Lynwood,56.7,-17.2,79.2,6.9,29.9,8.4,16.7,CA,27
578,Madera,58.1,-25.8,78.1,8.4,47.1,9.2,10.2,CA,11
579,Manteca,84.9,-4.2,79.1,6.5,80.7,8.2,5.1,CA,39
580,Menifee,87.5,-6.1,79.9,6.4,75.6,7.3,7.1,CA,10
581,Merced,72.9,-26.5,77.4,6.3,72.8,12.7,8.3,CA,33
582,Milpitas,88.8,33.4,83.2,6.4,65.8,3.7,2.5,CA,26
583,Mission Viejo,94.2,26.5,82.4,4.0,65.4,4.1,5.1,CA,36
584,Modesto,82.6,-12.5,77.5,9.1,71.0,8.9,6.6,CA,208
585,Montebello,73.6,-16.0,81.7,16.6,44.1,7.0,12.7,CA,27
586,Monterey Park,79.3,-9.8,84.3,9.8,53.7,5.2,7.9,CA,17
587,Moreno Valley,76.4,-8.6,78.7,5.7,72.6,8.4,11.8,CA,84
588,Mountain View,92.9,35.5,83.2,4.8,76.1,3.3,5.5,CA,31
589,Murrieta,91.6,9.6,81.9,3.6,78.7,7.6,6.7,CA,23
590,Napa,84.2,8.0,80.8,15.1,65.1,4.4,8.2,CA,21
591,National City,74.9,-24.9,80.0,7.7,68.0,6.6,14.4,CA,40
592,Newport Beach,97.8,31.4,83.0,13.2,60.1,3.1,3.7,CA,77
593,Norwalk,76.4,-6.6,80.3,5.4,58.8,5.8,10.6,CA,228
594,Norwalk,87.9,10.0,82.6,10.1,75.6,6.7,19.4,CT,228
595,Novato,92.7,17.1,83.1,4.9,64.7,3.6,4.4,CA,123
596,Oakland,82.6,-0.8,79.0,16.9,93.4,6.1,8.9,CA,683
597,Oceanside,86.7,-2.4,80.8,8.0,73.8,6.0,10.7,CA,300
598,Ontario,73.9,-9.5,79.6,9.9,64.1,6.5,11.1,CA,63
599,Orange,85.8,12.0,81.8,11.8,74.4,4.4,8.7,CA,546
600,Oxnard,70.1,-1.4,80.1,18.4,56.7,5.7,18.7,CA,82
601,Palmdale,74.6,-11.9,78.8,10.5,70.2,8.0,8.5,CA,227
602,Palm Desert,92.3,-9.8,82.5,8.7,57.4,5.2,9.1,CA,29
603,Palo Alto,97.4,40.6,85.0,4.6,71.5,3.2,2.5,CA,116
604,Paramount,64.8,-18.8,78.1,5.4,41.1,5.3,12.1,CA,33
605,Perris,66.5,-10.5,77.8,9.1,56.0,7.4,10.6,CA,30
606,Petaluma,90.4,11.0,80.4,3.3,55.9,4.0,4.8,CA,58
607,Pico Rivera,70.8,-7.3,81.1,9.6,30.5,5.1,10.5,CA,26
608,Pittsburg,79.5,-2.1,78.1,5.2,86.8,8.3,7.9,CA,54
609,Placentia,87.1,14.8,82.2,11.6,77.3,4.1,6.9,CA,24
610,Pleasanton,96.1,43.2,83.6,4.0,71.8,3.1,2.4,CA,23
611,Pomona,69.3,-12.2,79.8,13.8,65.3,7.1,13.5,CA,101
612,Porterville,70.2,-30.7,76.3,5.7,55.8,12.4,8.3,CA,6
613,Rancho Cordova,88.9,-8.6,78.8,5.7,83.2,7.5,7.2,CA,6
614,Rancho Cucamonga,91.5,8.1,81.0,5.4,83.6,5.4,5.2,CA,30
615,Redding,92.1,-17.6,76.8,6.1,48.0,5.2,7.5,CA,276
616,Redlands,88.8,-0.8,79.3,9.2,76.4,5.9,5.7,CA,80
617,Redondo Beach,96.7,27.3,81.2,2.1,72.3,3.8,3.8,CA,128
618,Redwood City,87.1,28.1,82.0,16.6,73.3,2.9,5.9,CA,39
619,Rialto,70.3,-13.2,78.9,6.5,56.4,10.6,13.4,CA,33
620,Riverside,80.6,-7.2,78.9,9.9,72.8,6.6,10.3,CA,799
621,Rocklin,96.1,14.0,81.1,3.7,56.2,4.4,4.7,CA,2
622,Rosemead,66.4,-14.3,83.6,6.0,57.0,4.6,8.2,CA,13
623,Roseville,94.6,9.3,80.3,4.3,62.8,4.6,4.7,CA,223
624,Sacramento,85.3,-11.4,78.4,9.6,91.5,7.0,6.6,CA,1130
625,Salinas,59.2,-11.2,79.1,13.3,44.9,4.9,14.3,CA,48
626,San Bernardino,69.4,-27.1,76.6,9.9,67.0,9.2,12.8,CA,216
627,San Clemente,94.7,25.1,82.7,2.4,49.8,4.4,4.7,CA,36
628,San Diego,88.1,3.7,81.2,19.6,82.3,5.8,8.8,CA,2289
629,San Francisco,88.5,20.9,82.1,13.7,81.8,4.2,4.2,CA,3400
630,San Jose,84.6,22.9,82.4,16.0,81.3,4.7,5.8,CA,897
631,San Leandro,83.1,4.3,80.9,7.1,88.3,5.2,6.1,CA,108
632,San Mateo,89.7,29.9,83.0,7.3,80.9,3.7,4.8,CA,143
633,San Rafael,85.5,16.5,81.9,18.8,64.1,4.2,8.4,CA,72
634,San Ramon,96.4,46.8,84.6,9.8,71.5,3.2,2.3,CA,21
635,Santa Ana,59.6,-5.0,81.0,20.9,56.2,5.1,16.9,CA,113
636,Santa Barbara,85.9,6.2,82.5,11.3,60.1,3.8,12.1,CA,109
637,Santa Clara,92.8,30.9,82.0,5.0,79.5,3.7,3.4,CA,130
638,Santa Clarita,90.5,16.6,81.5,7.7,75.6,5.0,6.4,CA,172
639,Santa Cruz,93.9,-1.1,81.7,7.5,62.9,7.7,5.4,CA,302
640,Santa Maria,60.2,-9.1,80.5,14.6,50.3,4.9,20.0,CA,23
641,Santa Monica,95.0,12.0,82.5,6.1,68.1,5.4,5.4,CA,139
642,Santa Rosa,86.2,0.8,79.7,10.3,65.7,4.7,8.9,CA,169
643,Santee,93.9,7.3,79.6,2.5,60.9,5.3,5.0,CA,116
644,Simi Valley,91.9,15.6,81.3,4.8,65.7,4.5,5.6,CA,61
645,South Gate,56.7,-18.7,81.1,14.2,14.0,9.6,16.5,CA,26
646,South San Francisco,86.1,21.6,82.3,8.9,78.1,3.0,5.3,CA,14
647,Stockton,76.7,-17.7,76.9,9.9,85.2,8.8,7.6,CA,169
648,Sunnyvale,92.6,37.4,83.2,6.6,75.7,4.0,3.9,CA,82
649,Temecula,92.9,12.1,82.1,2.9,76.8,5.8,7.0,CA,53
650,Thousand Oaks,93.5,24.3,83.3,6.3,60.6,4.5,5.8,CA,106
651,Torrance,94.3,12.1,82.9,6.3,81.1,4.0,5.5,CA,88
652,Tracy,85.4,10.7,79.0,5.0,85.6,5.3,6.7,CA,34
653,Tulare,74.8,-18.9,77.2,8.7,56.0,6.9,9.2,CA,12
654,Turlock,81.6,-15.3,79.4,8.1,66.0,7.2,5.5,CA,83
655,Tustin,87.0,10.9,81.5,14.3,76.5,4.0,8.4,CA,14
656,Upland,89.4,0.9,80.5,6.2,76.1,4.8,6.7,CA,28
657,Vacaville,89.1,7.6,80.5,7.1,82.6,4.6,4.9,CA,91
658,Vallejo,88.0,-5.8,79.2,7.8,94.4,8.2,5.8,CA,50
659,Victorville,77.7,-17.7,76.0,5.3,74.7,12.9,8.1,CA,41
660,Visalia,82.8,-9.5,78.4,8.0,62.9,4.9,6.2,CA,45
661,Vista,79.0,-1.2,81.0,9.8,66.3,4.4,12.8,CA,82
662,Walnut Creek,97.7,21.5,83.2,3.5,60.6,3.7,3.6,CA,100
663,Watsonville,60.8,-15.7,81.4,9.9,42.4,7.5,8.6,CA,32
664,West Covina,85.7,1.7,81.4,5.6,68.6,5.6,7.6,CA,88
665,West Sacramento,83.6,-8.2,78.0,5.3,80.3,7.3,4.8,CA,13
666,Whittier,87.4,-1.1,81.5,10.9,57.8,4.0,7.1,CA,36
667,Woodland,82.3,-3.0,80.7,5.9,66.8,5.6,8.4,CA,37
668,Yorba Linda,95.5,33.7,83.3,5.0,71.1,3.6,3.4,CA,16
669,Yuba City,77.4,-14.5,79.0,7.7,79.1,8.7,10.0,CA,42
670,Yucaipa,89.3,-6.1,78.5,4.3,59.9,4.4,6.4,CA,6
671,Arvada,94.3,8.5,80.1,8.7,43.8,3.8,6.0,CO,54
672,Boulder,96.9,-1.6,82.3,6.4,43.1,4.6,4.6,CO,195
673,Broomfield,96.9,16.0,81.1,3.4,49.7,3.2,4.9,CO,11
674,Castle Rock,97.5,22.1,81.3,2.9,34.8,2.9,4.4,CO,17
675,Centennial,97.4,23.3,81.8,7.2,56.0,3.1,3.9,CO,90
676,Colorado Springs,93.9,-8.3,79.4,7.1,60.6,5.7,8.9,CO,466
677,Commerce City,81.4,-0.6,77.7,11.6,61.9,4.4,9.5,CO,23
678,Denver,88.0,-3.0,78.6,19.3,71.1,3.8,10.3,CO,783
679,Fort Collins,96.5,-7.3,80.8,6.5,44.0,5.4,6.7,CO,102
680,Grand Junction,90.1,-21.3,78.7,6.4,38.1,6.9,10.6,CO,88
681,Greeley,84.5,-17.7,78.4,12.0,56.6,5.2,9.5,CO,69
682,Longmont,90.2,-1.4,80.3,7.4,50.8,5.0,7.6,CO,83
683,Loveland,95.9,-8.4,80.8,3.3,34.2,4.3,7.0,CO,57
684,Parker,97.4,24.7,82.2,3.9,43.2,2.9,3.9,CO,22
685,Pueblo,87.3,-33.4,76.0,6.2,56.8,8.4,9.1,CO,80
686,Thornton,87.2,2.3,78.7,10.6,62.4,3.6,9.0,CO,41
687,Bridgeport,76.4,-26.8,77.7,10.6,79.9,12.5,15.1,CT,167
688,Bristol,89.6,-7.6,79.3,5.7,52.0,5.4,4.8,CT,126
689,Danbury,83.3,-2.4,81.4,6.5,77.6,6.0,18.5,CT,85
690,Hartford,74.5,-38.4,77.1,19.5,74.9,12.0,10.1,CT,140
691,Meriden,86.6,-11.3,78.9,11.7,65.6,6.0,5.7,CT,59
692,Milford,94.5,8.8,80.2,4.1,42.4,4.8,3.4,CT,106
693,New Britain,80.6,-26.3,76.6,9.3,72.9,8.0,6.2,CT,53
694,New Haven,85.6,-27.7,78.2,17.6,83.4,9.0,9.8,CT,299
695,Stamford,89.2,14.4,81.9,12.7,78.2,6.3,12.1,CT,88
696,Waterbury,79.6,-31.4,76.8,6.6,78.1,9.6,9.2,CT,57
697,West Haven,87.9,-11.3,77.8,7.9,77.6,9.3,8.4,CT,50
